ContractMonth,SpecialQuotationDay,FinalSettlementPrice
2000-01,2000-01-14,18967.5
2000-02,2000-02-10,19757.3
2000-03,2000-03-10,20129.2
2000-04,2000-04-14,20305.6
2000-05,2000-05-12,17315.7
2000-06,2000-06-09,16674.8
2000-07,2000-07-14,16987.7
2000-08,2000-08-11,15768.1
2000-09,2000-09-08,16364.9
2000-10,2000-10-13,15179.2
2000-11,2000-11-10,14868.1
2000-12,2000-12-08,14618.2
2001-01,2001-01-12,13245.5
2001-02,2001-02-09,13213.1
2001-03,2001-03-09,12469.7
2001-04,2001-04-13,13516.3
2001-05,2001-05-11,14065.1
2001-06,2001-06-08,13435.2
2001-07,2001-07-13,12389.6
2001-08,2001-08-10,11665.0
2001-09,2001-09-14,9543.64
2001-10,2001-10-12,10704.2
2001-11,2001-11-09,10389.0
2001-12,2001-12-14,10537.6
2002-01,2002-01-11,10565.4
2002-02,2002-02-08,9606.35
2002-03,2002-03-08,11778.7
2002-04,2002-04-12,11013.0
2002-05,2002-05-10,11559.9
2002-06,2002-06-14,11157.5
2002-07,2002-07-12,10681.9
2002-08,2002-08-09,9843.44
2002-09,2002-09-13,9225.41
2002-10,2002-10-11,8528.91
2002-11,2002-11-08,8776.91
2002-12,2002-12-13,8678.41
2003-01,2003-01-10,8581.18
2003-02,2003-02-14,8645.24
2003-03,2003-03-14,7947.44
2003-04,2003-04-11,7961.98
2003-05,2003-05-09,8111.37
2003-06,2003-06-13,8928.56
2003-07,2003-07-11,9786.72
2003-08,2003-08-08,9251.99
2003-09,2003-09-12,10726.1
2003-10,2003-10-10,10592.0
2003-11,2003-11-14,10306.4
2003-12,2003-12-12,10145.9
2004-01,2004-01-09,10978.8
2004-02,2004-02-13,10394.2
2004-03,2004-03-12,11104.7
2004-04,2004-04-09,12031.6
2004-05,2004-05-14,10835.8
2004-06,2004-06-11,11594.7
2004-07,2004-07-09,11232.0
2004-08,2004-08-13,10856.6
2004-09,2004-09-10,11067.3
2004-10,2004-10-08,11311.7
2004-11,2004-11-12,10824.4
2004-12,2004-12-10,10728.5
2005-01,2005-01-14,11341.2
2005-02,2005-02-10,11413.7
2005-03,2005-03-11,11841.4
2005-04,2005-04-08,11871.5
2005-05,2005-05-13,11038.2
2005-06,2005-06-10,11139.3
2005-07,2005-07-08,11590.4
2005-08,2005-08-12,12273.1
2005-09,2005-09-09,12610.0
2005-10,2005-10-14,13642.5
2005-11,2005-11-11,14200.6
2005-12,2005-12-09,15046.1
2006-01,2006-01-13,16535.9
2006-02,2006-02-10,16525.9
2006-03,2006-03-10,16001.8
2006-04,2006-04-14,17389.3
2006-05,2006-05-12,16580.9
2006-06,2006-06-09,14454.9
2006-07,2006-07-14,14859.7
2006-08,2006-08-11,15661.2
2006-09,2006-09-08,15847.1
2006-10,2006-10-13,16484.6
2006-11,2006-11-10,16096.6
2006-12,2006-12-08,16291.6
2007-01,2007-01-12,16888.9
2007-02,2007-02-09,17311.0
2007-03,2007-03-09,17290.7
2007-04,2007-04-13,17658.7
2007-05,2007-05-11,17611.7
2007-06,2007-06-08,17912.6
2007-07,2007-07-13,18177.4
2007-08,2007-08-10,16669.3
2007-09,2007-09-14,15891.0
2007-10,2007-10-12,17450.3
2007-11,2007-11-09,15684.4
2007-12,2007-12-14,15513.6
2008-01,2008-01-11,14355.0
2008-02,2008-02-08,13090.0
2008-03,2008-03-14,12518.7
2008-04,2008-04-11,13129.6
2008-05,2008-05-09,13974.1
2008-06,2008-06-13,14053.0
2008-07,2008-07-11,13155.0
2008-08,2008-08-08,13032.6
2008-09,2008-09-12,12295.5
2008-10,2008-10-10,7992.6
2008-11,2008-11-14,8628.17
2008-12,2008-12-12,8427.29
2009-01,2009-01-09,8961.49
2009-02,2009-02-13,7811.93
2009-03,2009-03-13,7491.33
2009-04,2009-04-10,9140.27
2009-05,2009-05-08,9389.55
2009-06,2009-06-12,10147.7
2009-07,2009-07-10,9386.69
2009-08,2009-08-14,10609.4
2009-09,2009-09-11,10541.9
2009-10,2009-10-09,9913.18
2009-11,2009-11-13,9746.49
2009-12,2009-12-11,9982.59
2010-01,2010-01-08,10798.8
2010-02,2010-02-12,10099.6
2010-03,2010-03-12,10808.7
2010-04,2010-04-09,11147.0
2010-05,2010-05-14,10435.4
2010-06,2010-06-11,9747.59
2010-07,2010-07-09,9636.23
2010-08,2010-08-13,9188.79
2010-09,2010-09-10,9150.32
2010-10,2010-10-08,9692.73
2010-11,2010-11-12,9813.1
2010-12,2010-12-10,10420.7
2011-01,2011-01-14,10470.1
2011-02,2011-02-10,10561.4
2011-03,2011-03-11,10286.5
2011-04,2011-04-08,9612.51
2011-05,2011-05-13,9758.38
2011-06,2011-06-10,9553.69
2011-07,2011-07-08,10225.8
2011-08,2011-08-12,9054.49
2011-09,2011-09-09,8732.49
2011-10,2011-10-14,8799.42
2011-11,2011-11-11,8542.82
2011-12,2011-12-09,8478.46
2012-01,2012-01-13,8470.71
2012-02,2012-02-10,9011.16
2012-03,2012-03-09,9946.46
2012-04,2012-04-13,9638.83
2012-05,2012-05-11,9019.35
2012-06,2012-06-08,8613.4
2012-07,2012-07-13,8678.36
2012-08,2012-08-10,8914.81
2012-09,2012-09-14,9076.79
2012-10,2012-10-12,8517.75
2012-11,2012-11-09,8745.24
2012-12,2012-12-14,9720.36
2013-01,2013-01-11,10772.0
2013-02,2013-02-08,11151.9
2013-03,2013-03-08,12073.0
2013-04,2013-04-12,13608.2
2013-05,2013-05-10,14602.0
2013-06,2013-06-14,12668.0
2013-07,2013-07-12,14410.8
2013-08,2013-08-09,13640.0
2013-09,2013-09-13,14323.3
2013-10,2013-10-11,14349.7
2013-11,2013-11-08,14013.1
2013-12,2013-12-13,15303.2
2014-01,2014-01-10,15784.8
2014-02,2014-02-14,14536.1
2014-03,2014-03-14,14429.9
2014-04,2014-04-11,13892.8
2014-05,2014-05-09,14104.8
2014-06,2014-06-13,14807.7
2014-07,2014-07-11,15084.1
2014-08,2014-08-08,15036.8
2014-09,2014-09-12,15916.0
2014-10,2014-10-10,15296.4
2014-11,2014-11-14,17549.6
2014-12,2014-12-12,17281.6
2015-01,2015-01-09,17341.9
2015-02,2015-02-13,17886.0
2015-03,2015-03-13,19225.4
2015-04,2015-04-10,20008.5
2015-05,2015-05-08,19270.8
2015-06,2015-06-12,20473.8
2015-07,2015-07-10,19849.2
2015-08,2015-08-14,20540.4
2015-09,2015-09-11,18119.5
2015-10,2015-10-09,18137.5
2015-11,2015-11-13,19496.9
2015-12,2015-12-11,18943.5
2016-01,2016-01-08,17420.0
2016-02,2016-02-12,15156.8
2016-03,2016-03-11,16586.9
2016-04,2016-04-08,15507.6
2016-05,2016-05-13,16845.7
2016-06,2016-06-10,16639.1
2016-07,2016-07-08,15331.3
2016-08,2016-08-12,16926.6
2016-09,2016-09-09,17011.8
2016-10,2016-10-14,16741.8
2016-11,2016-11-11,17596.8
2016-12,2016-12-09,18867.4
2017-01,2017-01-13,19182.3
2017-02,2017-02-10,19276.1
2017-03,2017-03-10,19434.3
2017-04,2017-04-14,18613.3
2017-05,2017-05-12,19991.3
2017-06,2017-06-09,19997.6
2017-07,2017-07-14,20151.8
2017-08,2017-08-10,19825.9
2017-09,2017-09-08,19278.1
2017-10,2017-10-13,20957.6
2017-11,2017-11-10,22531.1
2017-12,2017-12-08,22590.7
2018-01,2018-01-12,23723.2
2018-02,2018-02-09,21190.1
2018-03,2018-03-09,21575.4
2018-04,2018-04-13,21853.9
2018-05,2018-05-11,22621.8
2018-06,2018-06-08,22825.2
2018-07,2018-07-13,22452.3
2018-08,2018-08-10,22655.7
2018-09,2018-09-14,23057.9
2018-10,2018-10-12,22313.8
2018-11,2018-11-09,22469.5
2018-12,2018-12-14,21618.9
2019-01,2019-01-11,20290.7
2019-02,2019-02-08,20481.0
2019-03,2019-03-08,21348.4
2019-04,2019-04-12,21870.8
2019-05,2019-05-10,21451.9
2019-06,2019-06-14,21060.6
2019-07,2019-07-12,21742.6
2019-08,2019-08-09,20856.0
2019-09,2019-09-13,21981.1
2019-10,2019-10-11,21842.6
2019-11,2019-11-08,23637.9
2019-12,2019-12-13,23895.9
2020-01,2020-01-10,23857.2
2020-02,2020-02-14,23744.7
2020-03,2020-03-13,17052.9
2020-04,2020-04-10,19577.5
2020-05,2020-05-08,20073.7
2020-06,2020-06-12,22071.5
2020-07,2020-07-10,22601.8
2020-08,2020-08-14,23350.8
2020-09,2020-09-11,23272.9
2020-10,2020-10-09,23724.2
2020-11,2020-11-13,25480.3
2020-12,2020-12-11,26713.5
2021-01,2021-01-08,27774.9
2021-02,2021-02-12,29718.8
2021-03,2021-03-12,29282.4
2021-04,2021-04-09,29909.7
2021-05,2021-05-14,27748.2
2021-06,2021-06-11,29046.4
2021-07,2021-07-09,27726.7
2021-08,2021-08-13,28093.2
2021-09,2021-09-10,30085.9
2021-10,2021-10-08,28098.1
2021-11,2021-11-12,29388.5
2021-12,2021-12-10,28523.3
2022-01,2022-01-14,28266.6
2022-02,2022-02-10,27835.6
2022-03,2022-03-11,25457.9
2022-04,2022-04-08,27122.4
2022-05,2022-05-13,25951.2
2022-06,2022-06-10,28122.8
2022-07,2022-07-08,26659.6
2022-08,2022-08-12,28525.6
2022-09,2022-09-09,28253.4
2022-10,2022-10-14,26666.3
2022-11,2022-11-11,28225.9
2022-12,2022-12-09,27576.4
2023-01,2023-01-13,26325.2
2023-02,2023-02-10,27779.8
2023-03,2023-03-10,28377.3
2023-04,2023-04-14,28519.4
2023-05,2023-05-12,29235.1
2023-06,2023-06-09,32018.4
2023-07,2023-07-14,32484.2
2023-08,2023-08-10,32013.9
2023-09,2023-09-08,32921.4
2023-10,2023-10-12,32360.91
